fonte,origem_tipo,pais,classe,titulo,tipo,fase_produto,produto,categoria,valor,score,ano,link,origem
Prefeitura SP Cultura,municipal,Brasil,oportunidade,"“Método Mágico Científico” faz experimentos que parecem magia na Mário Schenberg Bibliotecas temáticas da prefeitura recebem programação de acordo com seus temas Prefeitura de São Paulo oferece cursos gratuitos de teatro e cinema pelo Programa Vocacional Aulas são realizadas em EMIAs, Casas de Cultura e CEUs com inscrições presenciais Abre e Fecha - Suspensão de Expediente e Feriado Tiradentes Confira o funcionamento dos equipamentos municipais da Secretaria",edital,nao identificado,formacao_mentoria,audiovisual,,35,,https://prefeitura.sp.gov.br/web/cultura/w/-m%C3%A9todo-m%C3%A1gico-cient%C3%ADfico-faz-experimentos-que-parecem-magia-na-m%C3%A1rio-schenberg,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura
SECULT MG,estadual,Brasil,oportunidade,Programa de Desenvolvimento do Audiovisual Mineiro,outro,desenvolvimento,desenvolvimento_roteiro,audiovisual,,35,,https://www.secult.mg.gov.br/a-secretaria/audiovisual/prog-de-desenvolv-do-audiovisual-mineiro,https://www.secult.mg.gov.br
ANCINE,federal,Brasil,oportunidade,Oficina para selecionados na Chamada Pública BRDE/FSA – PRODUÇÃO SELETIVO TV VOD,edital,producao,formacao_mentoria,audiovisual,,26,2013,https://www.gov.br/ancine/pt-br/centrais-de-conteudo/eventos-de-capacitacao/oficina-para-selecionados-na-chamada-publica-brde-fsa-2013-producao-seletivo-tv-vod,https://www.gov.br/ancine
ANCINE,federal,Brasil,oportunidade,Mercado Audiovisual,mercado,nao identificado,mercado_pitch_coproducao,audiovisual,,25,,https://www.gov.br/ancine/pt-br/oca/paineis-interativos-1/paineis-interativos-subsecao-mercado-audiovisual,https://www.gov.br/ancine
ANCINE,federal,Brasil,oportunidade,Agentes Econômicos do Setor Audiovisual,outro,nao identificado,nao identificado,audiovisual,,25,,https://www.gov.br/ancine/pt-br/oca/paineis-interativos-1/paineis-interativos-subsecao-agentes-economicos-do-audiovisual,https://www.gov.br/ancine
MinC Brasil,federal,Brasil,oportunidade,Centro Técnico Audiovisual (CTAV),outro,nao identificado,nao identificado,audiovisual,,25,,https://www.gov.br/ctav/pt-br,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,oportunidade,Cinema do Brasil,outro,nao identificado,nao identificado,audiovisual,,25,,https://www.gov.br/cultura/pt-br/assuntos/cinema-do-brasil,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,oportunidade,Cinemateca,outro,nao identificado,nao identificado,audiovisual,,25,,https://www.gov.br/cultura/pt-br/assuntos/cinemateca,https://www.gov.br/cultura/pt-br
SECULT MG,estadual,Brasil,oportunidade,Audiovisual Audiovisual Programa de Desenvolvimento do Audiovisual Mineiro,outro,desenvolvimento,desenvolvimento_roteiro,audiovisual,,25,,https://www.secult.mg.gov.br,https://www.secult.mg.gov.br
ANCINE,federal,Brasil,noticia,Sistema de Acompanhamento da Distribuição em Salas de Exibição - SADIS,mostra,distribuicao,distribuicao_circulacao,geral,,10,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/perguntas-frequentes1/sistema-de-acompanhamento-da-distribuicao-em-salas-de-exibicao-sadis,https://www.gov.br/ancine
PBH,outro,Brasil,noticia,"Ata de sessão pública, Adjudicação e Homologação",mostra,nao identificado,festival_inscricao,inovacao,,10,,https://drive.google.com/file/d/1uidEkiqd4ufvzAYlqa-thCaIfTbARwxK/view?usp=drive_link,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
ANCINE,federal,Brasil,noticia,Filmagens Estrangeiras no Brasil,formacao,nao identificado,formacao_mentoria,audiovisual,,0,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/perguntas-frequentes1/filmagens-estrangeiras-no-brasil,https://www.gov.br/ancine
ANCINE,federal,Brasil,oportunidade,Cinema Brasileiro de Todos e para Todos realiza sessão inclusiva em São Paulo,mostra,nao identificado,festival_inscricao,audiovisual,,0,,https://www.gov.br/ancine/pt-br/assuntos/noticias/cinema-brasileiro-de-todos-e-para-todos-realiza-sessao-inclusiva-em-sao-paulo,https://www.gov.br/ancine
MinC Brasil,federal,Brasil,oportunidade,AUDIOVISUAL Reunião dos Arranjos Regionais define prazos e orientações para nova etapa da política audiovisual,outro,nao identificado,nao identificado,audiovisual,,0,,https://www.gov.br/cultura/pt-br/assuntos/noticias/reuniao-dos-arranjos-regionais-define-prazos-e-orientacoes-para-nova-etapa-da-politica-audiovisual,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Internacional,noticia,Creative Commons Atribuição-SemDerivações 3.0 Não Adaptada Todo o conteúdo deste site está publicado sob a licença Creative Commons Atribuição-SemDerivações 3.0 Não Adaptada .,outro,nao identificado,nao identificado,cultura,,0,,https://creativecommons.org/licenses/by-nd/3.0/deed.pt_BR,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,oportunidade,Reunião dos Arranjos Regionais define prazos e orientações para nova etapa da política audiovisual,outro,nao identificado,nao identificado,audiovisual,,0,,https://www.gov.br/cultura/pt-br/assuntos/noticias/reuniao-dos-arranjos-regionais-define-prazos-e-orientacoes-para-nova-etapa-da-politica-audiovisual,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Prêmio Pontos de Leitura 2023,formacao,nao identificado,formacao_mentoria,cultura,,-6,2023,https://www.gov.br/cultura/pt-br/acesso-a-informacao/perguntas-frequentes/premio-pontos-de-leitura-2023,https://www.gov.br/cultura/pt-br
ANCINE,federal,Brasil,noticia,"GOV.BR GOV.BR Serviços Buscar serviços por Categorias Órgãos Estados Serviços por público alvo Cidadãos Empresas Órgãos e Entidades Públicas Demais segmentos (ONGs, organizações sociais, etc) Servidor Público Temas em Destaque Orçamento Nacional Redes de Atendimento do Governo Federal Proteção de Dados Pes GOV.BR Serviços Buscar serviços por Categorias Órgãos Estados Serviços por público alvo Cidadãos Empresas Órgãos e Entidades Públicas Demais segmentos (ONGs, organizações sociais, etc) Servidor Público Temas em Destaque Orçamento Nacional Redes de Atendimento do Governo Federal Proteção de Dados Pessoais Serviços para Imigrantes Política e Orçamento Educacionais Educação Profissional e Tec",grant,nao identificado,nao identificado,inovacao,,-8,,https://www.gov.br/ancine/pt-br/pagina-inicial,https://www.gov.br/ancine
MinC Brasil,federal,Brasil,noticia,"GOV.BR GOV.BR Serviços Buscar serviços por Categorias Órgãos Estados Serviços por público alvo Cidadãos Empresas Órgãos e Entidades Públicas Demais segmentos (ONGs, organizações sociais, etc) Servidor Público Temas em Destaque Orçamento Nacional Redes de Atendimento do Governo Federal Proteção de Dados Pes GOV.BR Serviços Buscar serviços por Categorias Órgãos Estados Serviços por público alvo Cidadãos Empresas Órgãos e Entidades Públicas Demais segmentos (ONGs, organizações sociais, etc) Servidor Público Temas em Destaque Orçamento Nacional Redes de Atendimento do Governo Federal Proteção de Dados Pessoais Serviços para Imigrantes Política e Orçamento Educacionais Educação Profissional e Tec",grant,nao identificado,nao identificado,cultura,,-8,,https://www.gov.br/cultura/pt-br/pagina-inicial,https://www.gov.br/cultura/pt-br
SECULT MG,estadual,Brasil,noticia,Editais Editais Fundo Estadual de Cultura (FEC) Editais Dúvidas Frequentes Política Nacional Aldir Blanc (PNAB) Cronograma Documentação Editais Fase de Habilitação Lei Paulo Gustavo (LPG) Cronograma Editais Resultado Preliminar Resultado Final Suplentes,outro,nao identificado,nao identificado,cultura,,-8,,https://www.secult.mg.gov.br,https://www.secult.mg.gov.br
SECULT MG,estadual,Brasil,noticia,Instituições Instituições Arquivo Público Mineiro Biblioteca Pública Estadual Circuito Liberdade Museus Centro de Arte Popular Museu Casa Alphonsus de Guimaraens Museu Casa Guignard Museu Casa Guimarães Rosa Museu do Crédito Real Museu dos Militares Mineiros Museu Mineiro Rádio Inconfidência Rede Minas Orgãos Vi Instituições Arquivo Público Mineiro Biblioteca Pública Estadual Circuito Liberdade Museus Centro de Arte Popular Museu Casa Alphonsus de Guimaraens Museu Casa Guignard Museu Casa Guimarães Rosa Museu do Crédito Real Museu dos Militares Mineiros Museu Mineiro Rádio Inconfidência Rede Minas Orgãos Vinculados Fundação Clóvis Salgado Fundação de Arte de Ouro Preto IEPHA Orquestra Filarm,outro,nao identificado,nao identificado,cultura,,-8,,https://www.secult.mg.gov.br,https://www.secult.mg.gov.br
Prefeitura SP Cultura,municipal,Brasil,noticia,Prefeitura de São Paulo lança projeto que leva música para as bibliotecas públicas municipais; estreia do projeto tem Zeca Baleiro Música Popular na Biblioteca estreia em no Dia In Prefeitura de São Paulo lança projeto que leva música para as bibliotecas públicas municipais; estreia do projeto tem Zeca Baleiro Música Popular na Biblioteca estreia em no Dia Internacional do Livro,outro,nao identificado,nao identificado,cultura,,-10,,https://prefeitura.sp.gov.br/web/cultura/w/prefeitura-de-s%C3%A3o-paulo-lan%C3%A7a-projeto-que-leva-m%C3%BAsica-para-as-bibliotecas-p%C3%BAblicas-municipais-estreia-do-projeto-tem-zeca-baleiro,https://www.prefeitura.sp.gov.br/cidade/secretarias/cultura
MinC Brasil,federal,Brasil,noticia,Política Nacional Aldir Blanc de Fomento à Cultura,formacao,nao identificado,formacao_mentoria,cultura,,-18,,https://www.gov.br/cultura/pt-br/acesso-a-informacao/perguntas-frequentes/politica-nacional-aldir-blanc,https://www.gov.br/cultura/pt-br
ANCINE,federal,Brasil,noticia,Ações de Capacitação,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/transparencia-prestacao-de-contas/acoes-de-capacitacao,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Convênios e Transferências Convênios e Transferências Passo a passo para consulta de convênios e transferências no Portal da Transparência Passo a passo para consulta no Portal Transferegov.br Termo de Execução Descentralizada Acordos de Cooperação Técnica e Acordos de Adesão,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/convenios-e-transferencias,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Legislação Legislação Leis e Medidas Provisórias Decretos Atos e Acordos Portarias Externas Instruções Normativas Resoluções de Diretoria Colegiada Portarias da ANCINE Súmulas Deliberações e decisões da ANCINE,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/legislacao,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Participação Social,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/participacao-social-novo/participacao-social-capa,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Passo a passo para consulta de convênios e transferências no Portal da Transparência,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/convenios-e-transferencias/passo-a-passo-para-consulta-de-convenios-no-portal-da-transparencia,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Passo a passo para consulta de servidores no Portal da Transparência,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/servidores/passo-passo-para-consulta-de-servidores-no-portal-da-transparencia,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Passo a passo para consulta no Portal Transferegov.br,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/convenios-e-transferencias/passo-a-passo-para-consulta-no-portal-de-convenios,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Planejamento Institucional,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/transparencia-prestacao-de-contas/planejamento-institucional-1,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Portarias Externas,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/legislacao/portarias-externas,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Portarias da ANCINE,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/legislacao/portarias,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Produtos e Resultados Gerados,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/transparencia-prestacao-de-contas/produtos-e-resultados-gerados,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Remunerações,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/transparencia-prestacao-de-contas/remuneracoes,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Rol de Responsáveis,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/transparencia-prestacao-de-contas/rol-de-responsaveis-1,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,"Supervisão, Controle e Correição",formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/transparencia-prestacao-de-contas/supervisao-controle-e-correicao-1,https://www.gov.br/ancine
ANCINE,federal,Brasil,noticia,Servidores Servidores Passo a passo para consulta de servidores no Portal da Transparência Concursos Públicos Terceirizados Programa de Estágio,trabalho,nao identificado,formacao_mentoria,inovacao,,-20,,https://www.gov.br/ancine/pt-br/acesso-a-informacao/servidores,https://www.gov.br/ancine
MinC Brasil,federal,Brasil,noticia,Canais de Atendimento Canais de Atendimento Ouvidoria Serviço de Informação ao Cidadão (SIC) Peticionamento Eletrônico Protocolo GOV.BR Protocolo Integrado Carta de Serviços Fale Conosco,formacao,nao identificado,formacao_mentoria,cultura,,-20,,https://www.gov.br/cultura/pt-br/canais_atendimento,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Horário de Atendimento,formacao,nao identificado,formacao_mentoria,cultura,,-20,,https://www.gov.br/cultura/pt-br/acesso-a-informacao/institucional/horario-de-atendimento,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Plano Nacional do Livro e Leitura,formacao,nao identificado,formacao_mentoria,cultura,,-20,,https://www.gov.br/cultura/pt-br/acesso-a-informacao/perguntas-frequentes/plano-nacional-do-livro-e-leitura,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Planos de Contratações Anuais,formacao,nao identificado,formacao_mentoria,cultura,,-20,,https://www.gov.br/cultura/pt-br/acesso-a-informacao/licitacoes-e-contratos/calendario-de-contratacoes,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Processo Seletivo Simplificado para Contratação Temporária do Ministério da Cultura,formacao,nao identificado,formacao_mentoria,cultura,,-20,,https://www.gov.br/cultura/pt-br/acesso-a-informacao/processo-seletivo-simplificado-para-contratacao-temporaria-do-ministerio-da-cultura,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Transparência,formacao,nao identificado,formacao_mentoria,cultura,,-20,,https://www.gov.br/cultura/pt-br/acesso-a-informacao/transparencia,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Transparência e Prestação de Contas,formacao,nao identificado,formacao_mentoria,cultura,,-20,,https://www.gov.br/cultura/pt-br/acesso-a-informacao/transparencia-e-prestacao-de-contas,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,"Serviços Serviços Buscar serviços por Categorias Órgãos Estados Serviços por público alvo Cidadãos Empresas Órgãos e Entidades Públicas Demais segmentos (ONGs, organizações sociais, etc) Servidor Público",outro,nao identificado,nao identificado,inovacao,,-20,,https://www.gov.br/pt-br/servicos,https://www.gov.br/cultura/pt-br
MinC Brasil,federal,Brasil,noticia,Órgãos e Entidades Públicas,outro,nao identificado,nao identificado,inovacao,,-20,,https://www.gov.br/pt-br/servicos/listar_servicos_segmento?segmento=publico_alvo_orgaos,https://www.gov.br/cultura/pt-br
PBH,municipal,Brasil,noticia,Impugnacâo - ÁBACO Tecnologia de Informação Ltda,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/impugnacao_pbh_v1.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,noticia,Resposta a Impugnação - ÁBACO Tecnologia de Informação Ltda,formacao,nao identificado,formacao_mentoria,inovacao,,-20,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/resposta-impugnacao.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,federal,Brasil,noticia,"Ata Da Sessão Pública , Adjudicação e Homologação Parcial 01 - Grupo 02",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://dom-web.pbh.gov.br/visualizacao/ato/469629,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,federal,Brasil,noticia,"Ata Da Sessão Pública , Adjudicação e Homologação Parcial 02 - Grupo 01",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://dom-web.pbh.gov.br/visualizacao/ato/472689,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,federal,Brasil,noticia,"Ata de Sessão Publica, Adjudicação e Homologação Parcial - 01",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://dom-web.pbh.gov.br/visualizacao/ato/473489,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,noticia,"Ata de Sessão Publica, Adjudicação e Homologação Parcial 01",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/pe97012-2025_ata_homologacao_parcial.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,noticia,"Ata de Sessão Pública, Adjudicação e Homlogação Parcial - itens 04,07 e 18.",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/dom-12-11-2025_1.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,municipal,Brasil,noticia,"Ata de Sessão Pública, Adjudicação e Homologação Ata de Sessão Pública, Adjudicação e Homologação .",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://prefeitura.pbh.gov.br/sites/default/files/estrutura-de-governo/administracao-logistica-e-patrimonial/transparencia/ata-adjudicacao_e_homologacao.pdf,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,federal,Brasil,noticia,"Ata de Sessão Pública, Adjudicação e Homologação Parcial - 02",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://dom-web.pbh.gov.br/visualizacao/ato/474653,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,federal,Brasil,noticia,"Ata de Sessão Pública, Adjudicação e Homologação Parcial - 03 - Final",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://dom-web.pbh.gov.br/visualizacao/ato/476033,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,federal,Brasil,noticia,"Ata de Sessão Pública, Adjudicação e Homologação Parcial 02",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://dom-web.pbh.gov.br/visualizacao/ato/473190,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,federal,Brasil,noticia,"Ata de Sessão Pública, Adjudicação e Homologação parcial 01",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://dom-web.pbh.gov.br/visualizacao/ato/474948,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,federal,Brasil,noticia,"Ata de Sessão Pública, Adjudicação e Homologação parcial 02 -Final",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://dom-web.pbh.gov.br/visualizacao/ato/476036,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,federal,Brasil,noticia,"Ata de sessão Pública, Adjudicação e Hologação Parcial - item 08",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://dom-web.pbh.gov.br/visualizacao/ato/475738,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,federal,Brasil,noticia,"Ata de sessão Pública, Adjudicação e Hologação Parcial itens 01 e 05",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://dom-web.pbh.gov.br/visualizacao/ato/468765,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,federal,Brasil,noticia,"Ata de sessão Pública, Adjudicação e Hologação Parcial itens 02, 06, 12 E 19",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://dom-web.pbh.gov.br/visualizacao/ato/469932,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
PBH,federal,Brasil,noticia,"Ata de sessão Pública, Adjudicação e Homologação Parcial - item 03",mostra,nao identificado,festival_inscricao,inovacao,,-20,,https://dom-web.pbh.gov.br/visualizacao/ato/479514,https://prefeitura.pbh.gov.br/administracao-logistica-e-patrimonial/licitacoes-e-editais
